0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:11:08 +0900] "GET /semi_about30s/mainpage.jsp HTTP/1.1" 200 1853598
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:11:15 +0900] "GET /semi_about30s/productDetail.jsp?productNo=14 HTTP/1.1" 200 646489
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:11:16 +0900] "GET /semi_about30s/productDetail.jsp?productNo=14 HTTP/1.1" 200 646489
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:17:20 +0900] "GET /semi_about30s/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:17:20 +0900] "GET /semi_about30s/mainpage.jsp HTTP/1.1" 200 1853562
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:17:23 +0900] "GET /semi_about30s/register.jsp HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:18:02 +0900] "POST /semi_about30s/JoinServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:18:02 +0900] "GET /semi_about30s/login.jsp HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:18:18 +0900] "POST /semi_about30s/LoginLogoutServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:18:38 +0900] "POST /semi_about30s/LoginLogoutServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:19:32 +0900] "POST /semi_about30s/LoginLogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:19:32 +0900] "GET /semi_about30s/mainpage.jsp HTTP/1.1" 200 1853598
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:19:43 +0900] "GET /semi_about30s/productRetrieve.jsp HTTP/1.1" 200 667824
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:19:45 +0900] "GET /semi_about30s/productRegister.jsp HTTP/1.1" 200 3250
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:20:55 +0900] "POST /semi_about30s/RegisterProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:20:55 +0900] "GET /semi_about30s/productRetrieve.jsp HTTP/1.1" 200 667824
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:20:58 +0900] "GET /semi_about30s/productRetrieve.jsp?page=2 HTTP/1.1" 200 2276314
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:21:02 +0900] "GET /semi_about30s/productRetrieve.jsp?page=1 HTTP/1.1" 200 667824
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:21:28 +0900] "GET /semi_about30s/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:21:28 +0900] "GET /semi_about30s/mainpage.jsp HTTP/1.1" 200 2939851
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:21:41 +0900] "GET /semi_about30s/register.jsp HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:22:20 +0900] "POST /semi_about30s/JoinServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:22:20 +0900] "GET /semi_about30s/login.jsp HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:22:33 +0900] "POST /semi_about30s/LoginLogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:22:33 +0900] "GET /semi_about30s/mainpage.jsp HTTP/1.1" 200 2939887
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:22:40 +0900] "GET /semi_about30s/productRetrieve.jsp HTTP/1.1" 200 667824
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:22:41 +0900] "GET /semi_about30s/productRegister.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:23:19 +0900] "POST /semi_about30s/RegisterProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:23:19 +0900] "GET /semi_about30s/productRetrieve.jsp HTTP/1.1" 200 667890
0:0:0:0:0:0:0:1 - - [20/Nov/2023:09:23:50 +0900] "GET /semi_about30s/productRetrieve.jsp?page=3 HTTP/1.1" 200 1008295
